#w(eV)  RpP(cm^2/W)     RsP(cm^2/W)     RpS(cm^2/W)
1.1780  -6.7080000e-24  -3.9624600e-22  -3.4130000e-24
1.1904  -8.8680000e-24  -2.5171700e-22  -7.0074000e-23
1.2028  -1.8565600e-22  -2.9435700e-22  -6.4582000e-23
1.2152  -1.4571300e-22  -1.6304900e-22  -6.4732000e-23
1.2276  -8.8715000e-23  -2.7815000e-22  -3.3769300e-22
1.2400  -1.1923300e-22  -1.1467600e-22  -6.2055400e-22
1.2524   7.8055000e-23  -8.2735000e-23  -1.9779900e-22
1.2648  -7.7580000e-24  -8.0424000e-23  -5.0921000e-23
1.2772   4.0388000e-23  -5.1845000e-23   5.9302000e-23
1.2896   7.8710000e-24  -9.2766000e-23  -3.2963000e-23
1.3020   9.3600000e-25  -1.1084200e-22  -1.2967100e-22
1.3144   1.5974000e-23  -9.1841000e-23  -6.5886000e-23
1.3268   1.7334000e-23  -6.3291000e-23   3.1348000e-23
1.3392   6.6821000e-23  -5.9579000e-23  -5.2485000e-23
1.3516   8.2590000e-24  -4.0641000e-23  -4.1406000e-23
1.3640   3.3517000e-23  -4.5288000e-23  -6.2198000e-23
1.3764   8.0276000e-23  -5.1278000e-23  -4.8455000e-23
1.3888   7.7528000e-23  -9.9470000e-24   3.9056000e-23
1.4012   6.7979000e-23  -4.1764000e-23   4.5183000e-23
1.4136   7.6892000e-23  -2.6655000e-23   2.2553000e-23
1.4260   1.1955500e-22  -3.4100000e-23  -2.0600000e-24
1.4384   1.5007800e-22  -3.1520000e-23  -2.6120000e-24
1.4508   1.6106000e-22  -3.5686000e-23  -2.2523000e-23
1.4632   1.7643000e-22  -9.1350000e-24  -8.0610000e-24
1.4756   2.5183700e-22  -1.7726000e-23   3.9382000e-23
1.4880   2.4983000e-22  -1.7838000e-23   3.9135000e-23
1.4880   2.7360400e-22  -4.3291000e-23  -2.5800000e-25
1.4942   2.4624100e-22   8.0700000e-25   2.3765000e-23
1.5004   2.3279300e-22  -8.5140000e-24   1.2025000e-23
1.5066   3.0888600e-22  -2.5696000e-23   7.4470000e-24
1.5128   3.4015200e-22  -2.0693000e-23  -1.4640000e-24
1.5190   4.2063500e-22  -3.0182000e-23   1.8756000e-23
1.5252   3.1494400e-22  -2.5036000e-23   1.3331000e-23
1.5314   3.9485300e-22  -1.1259000e-23   8.2540000e-24
1.5376   4.5272400e-22  -2.4234000e-23  -7.5900000e-25
1.5438   4.9310600e-22  -1.8385000e-23   9.3650000e-24
1.5500   5.6587700e-22  -1.1270000e-23   1.0735000e-23
1.5562   6.3164300e-22  -1.2609000e-23   2.3503000e-23
1.5624   5.6439800e-22  -1.4030000e-24   2.1399000e-23
1.5686   7.0714800e-22  -1.7141000e-23   4.1980000e-24
1.5748   6.2845000e-22  -7.7280000e-24  -6.0950000e-24
1.5810   8.8082800e-22  -1.5178000e-23   6.9240000e-24
1.5872   8.4205900e-22  -7.3200000e-24   2.1196000e-23
1.5934   1.0132500e-21  -7.2370000e-24  -9.0390000e-24
1.5996   1.0437880e-21  -1.3729000e-23  -1.5670000e-24
1.6058   1.1094140e-21  -4.1760000e-24   4.1870000e-24
1.6120   1.3343150e-21  -2.1800000e-25  -9.3370000e-24
1.6182   1.4685290e-21  -2.0256000e-23  -3.8140000e-24
1.6244   1.8719800e-21  -1.3233000e-23  -4.7400000e-25
1.6306   2.0724990e-21  -1.9380000e-24   5.6530000e-24
1.6368   2.3456070e-21  -1.1515000e-23   1.5774000e-23
1.6430   2.6060020e-21  -1.8140000e-24   1.1209200e-22
1.6492   3.0323080e-21  -1.3806000e-23   1.1857200e-22
1.6554   3.6958360e-21  -5.8920000e-24   1.6712100e-22
1.6616   4.0782940e-21  -1.0560000e-23   3.7093200e-22
1.6678   4.7000860e-21  -2.9690000e-23   4.2917500e-22
1.6740   5.2959970e-21   2.5793000e-23   7.0095800e-22
1.6802   5.4314590e-21   2.9933000e-23   1.0355820e-21
1.6864   5.3090690e-21   2.7837000e-23   1.2254470e-21
1.6926   5.5392860e-21   5.9486000e-23   1.5822080e-21
1.6988   5.3663540e-21   4.9208000e-23   2.1900320e-21
1.7050   5.4105290e-21   1.1174500e-22   2.3470690e-21
1.7112   5.0604420e-21   4.5543000e-23   2.1465680e-21
1.7174   4.5149460e-21   1.1010200e-22   nan
1.7236   3.7097010e-21   1.8714300e-22   2.6088760e-21
1.7298   3.1345370e-21   2.0419400e-22   2.5499270e-21
1.7360   2.9255240e-21   1.7688500e-22   2.3593230e-21
1.7794   1.6083710e-21   2.6250700e-22   2.8460340e-21
1.7856   1.4576070e-21   3.6742100e-22   2.3770260e-21
1.7918   1.3245380e-21   2.9022400e-22   2.0857180e-21
1.7980   1.1843940e-21   3.2948100e-22   1.6539810e-21
1.8042   1.1110470e-21   3.5111000e-22   1.5135260e-21
1.8104   1.3713090e-21   3.9949100e-22   1.3807440e-21
1.8166   1.1474360e-21   2.3352300e-22   1.1139900e-21
1.8228   1.3410100e-21   2.2461000e-22   1.0310980e-21
1.8290   1.3590260e-21   2.7471500e-22   1.1037310e-21
1.8352   1.1410350e-21   2.4638200e-22   8.9747800e-22
1.8414   1.2506660e-21   3.0223900e-22   6.0248700e-22
1.8476   1.1481630e-21   3.1645000e-22   7.2188200e-22
1.8538   1.1250080e-21   1.8887400e-22   7.8612300e-22
1.8600   1.1912890e-21   2.4620200e-22   4.6029300e-22
1.8662   1.0053620e-21   3.0551400e-22   5.4202300e-22
1.8724   1.4700500e-21   2.6843100e-22   5.6708200e-22
1.8786   1.5476410e-21   1.2845100e-22   6.4609900e-22
1.8848   1.2140490e-21   1.7363100e-22   6.9650000e-22
1.8910   1.1168450e-21   2.1101400e-22   6.1202500e-22
1.8972   1.6397750e-21   2.9669800e-22   8.1561800e-22
1.9034   1.7655910e-21   2.4162700e-22   4.9696600e-22
1.8848   7.7895000e-22   nan             8.3756400e-22
1.8910   1.8301720e-21   nan             1.2690290e-21
1.8972   1.4327850e-21   nan             8.4972800e-22
1.9034   2.3858540e-21   1.7037100e-22   7.7615100e-22
1.9096   1.3564200e-21   2.2016800e-22   7.7239100e-22
1.9158   1.8072890e-21   1.8555000e-22   7.1417100e-22
1.9220   1.7948760e-21   7.1925000e-23   6.0152100e-22
1.9282   2.5402080e-21   1.4585200e-22   7.2561100e-22
1.9344   2.0198080e-21   1.5474800e-22   8.4479600e-22
1.9406   2.0058570e-21   1.5244500e-22   1.1379940e-21
1.9468   2.7384860e-21   7.3788000e-23   9.4591600e-22
1.9530   2.8348290e-21   1.1618700e-22   8.6568500e-22
1.9592   3.5368240e-21   2.0726900e-22   8.2445700e-22
1.9654   3.3727040e-21   8.4346000e-23   8.2488800e-22
1.9716   3.3573670e-21   1.2257100e-22   6.5335900e-22
1.9778   3.6969200e-21   2.2800000e-22   8.6705600e-22
1.9840   3.6199560e-21   1.9666400e-22   7.0455000e-22
1.9902   5.0200820e-21   2.5030100e-22   9.3476100e-22
1.9964   4.7297970e-21   1.5145000e-22   8.8614300e-22
2.0026   5.2283910e-21   8.1986000e-23   8.1517000e-22
2.0088   5.2340570e-21   7.7263000e-23   9.3161200e-22
2.0150   4.6966560e-21   2.2287200e-22   1.0863870e-21
2.0212   6.1927780e-21   1.4891100e-22   1.1328130e-21
2.0274   6.2895450e-21   1.0256800e-22   1.1121710e-21
2.0336   7.0028030e-21   1.3304600e-22   9.2575700e-22
2.0398   6.6410740e-21   1.3636200e-22   1.1226420e-21
2.0460   6.8831030e-21   1.1355200e-22   1.0905650e-21
2.0522   7.3449880e-21   2.8042000e-23   1.0027490e-21
2.0584   8.4467270e-21   2.5049700e-22   1.0255550e-21
2.0646   7.8619740e-21   1.7414600e-22   1.3992220e-21
2.0708   9.3787930e-21   1.2851800e-22   1.3249000e-21
2.0770   9.5492300e-21   1.6180900e-22   1.5098860e-21
2.0832   1.0560687e-20   1.6824600e-22   1.5584350e-21
2.0894   1.1069001e-20   1.3658900e-22   1.5288620e-21
2.0956   1.2503099e-20   2.2935200e-22   1.6996480e-21
2.1018   1.3244255e-20  -3.4790000e-24   1.8408960e-21
