# 1w(eV)   RpP(cm^2/W)       RsP(cm^2/W)       RpS(cm^2/W)       RsS(cm^2/W)
01.2500    9.16988599e-22    2.96988920e-25    7.49519295e-23    2.26731381e-23
01.2600    9.23045811e-22    3.01597198e-25    7.60488551e-23    2.29988547e-23
01.2700    9.34987400e-22    3.10676321e-25    7.82241714e-23    2.36446586e-23
01.2800    9.52489644e-22    3.23982557e-25    8.14423352e-23    2.45997463e-23
01.2900    9.75117499e-22    3.41228452e-25    8.56538543e-23    2.58490528e-23
01.3000    1.00237422e-21    3.62177065e-25    9.07999069e-23    2.73746297e-23
01.3100    1.03375206e-21    3.86767299e-25    9.68185865e-23    2.91575082e-23
01.3200    1.06877586e-21    4.15268030e-25    1.03652857e-22    3.11800710e-23
01.3300    1.10703356e-21    4.48456038e-25    1.11260236e-22    3.34289376e-23
01.3400    1.14819082e-21    4.87809116e-25    1.19624062e-22    3.58983125e-23
01.3500    1.19199068e-21    5.35701643e-25    1.28765847e-22    3.85936516e-23
01.3600    1.23824122e-21    5.95586024e-25    1.38757832e-22    4.15353718e-23
01.3700    1.28679672e-21    6.72140643e-25    1.49734379e-22    4.47622043e-23
01.3800    1.33753834e-21    7.71363906e-25    1.61900559e-22    4.83336925e-23
01.3900    1.39036060e-21    9.00594666e-25    1.75536127e-22    5.23313090e-23
01.4000    1.44516962e-21    1.06844163e-24    1.90993342e-22    5.68577334e-23
01.4100    1.50189793e-21    1.28460855e-24    2.08687642e-22    6.20340047e-23
01.4200    1.56053984e-21    1.55960730e-24    2.29081140e-22    6.79945483e-23
01.4300    1.62120964e-21    1.90435413e-24    2.52660172e-22    7.48804512e-23
01.4400    1.68422323e-21    2.32964634e-24    2.79909562e-22    8.28317793e-23
01.4500    1.75020145e-21    2.84551861e-24    3.11287677e-22    9.19801383e-23
01.4600    1.82019023e-21    3.46048459e-24    3.47207448e-22    1.02443006e-22
01.4700    1.89579058e-21    4.18068182e-24    3.88029392e-22    1.14321598e-22
01.4800    1.97928520e-21    5.00895359e-24    4.34072121e-22    1.27703862e-22
