# RiF (cm^2/W)
# 1w(eV)   RpP               RpS               RsP               RsS               phi(deg)
01.2500    8.49887644e-22    7.22280963e-23    3.49129090e-25    1.99419528e-23    030.0
01.2600    8.55197455e-22    7.32511435e-23    3.54346085e-25    2.02244046e-23    030.0
01.2700    8.65661939e-22    7.52791384e-23    3.64660088e-25    2.07843509e-23    030.0
01.2800    8.80990441e-22    7.82773511e-23    3.79864243e-25    2.16122599e-23    030.0
01.2900    9.00791977e-22    8.21973550e-23    3.99729746e-25    2.26947962e-23    030.0
01.3000    9.24618918e-22    8.69814342e-23    4.24100337e-25    2.40159899e-23    030.0
01.3100    9.52010906e-22    9.25684991e-23    4.53013893e-25    2.55588264e-23    030.0
01.3200    9.82531493e-22    9.89015629e-23    4.86848847e-25    2.73072810e-23    030.0
01.3300    1.01579234e-21    1.05936771e-22    5.26493480e-25    2.92488051e-23    030.0
01.3400    1.05146307e-21    1.13653817e-22    5.73535791e-25    3.13772176e-23    030.0
01.3500    1.08926808e-21    1.22067272e-22    6.30469879e-25    3.36958719e-23    030.0
01.3600    1.12897438e-21    1.31237993e-22    7.00911435e-25    3.62208528e-23    030.0
01.3700    1.17037599e-21    1.41283340e-22    7.89810481e-25    3.89838473e-23    030.0
01.3800    1.21328132e-21    1.52384674e-22    9.03643707e-25    4.20342485e-23    030.0
01.3900    1.25750937e-21    1.64790474e-22    1.05056298e-24    4.54400350e-23    030.0
01.4000    1.30289979e-21    1.78813647e-22    1.24047071e-24    4.92870289e-23    030.0
01.4100    1.34934015e-21    1.94822118e-22    1.48499056e-24    5.36762964e-23    030.0
01.4200    1.39681232e-21    2.13222660e-22    1.79730344e-24    5.87197053e-23    030.0
01.4300    1.44545767e-21    2.34439058e-22    2.19182075e-24    6.45339785e-23    030.0
01.4400    1.49565965e-21    2.58887001e-22    2.68366658e-24    7.12339514e-23    030.0
01.4500    1.54814021e-21    2.86949399e-22    3.28793869e-24    7.89261020e-23    030.0
01.4600    1.60406475e-21    3.18956924e-22    4.01872571e-24    8.77037265e-23    030.0
01.4700    1.66514936e-21    3.55179254e-22    4.88788102e-24    9.76453274e-23    030.0
01.4800    1.73375928e-21    3.95831761e-22    5.90357833e-24    1.08817551e-22    030.0
01.4900    1.81298637e-21    4.41100876e-22    7.06869568e-24    1.21283568e-22    030.0
01.5000    1.90669514e-21    4.91188997e-22    8.37911400e-24    1.35117084e-22    030.0
01.5100    2.01952456e-21    5.46375557e-22    9.82209205e-24    1.50420912e-22    030.0
01.5200    2.15683321e-21    6.07085420e-22    1.13749850e-23    1.67347407e-22    030.0
01.5300    2.32457500e-21    6.73949077e-22    1.30046674e-23    1.86116097e-22    030.0
01.5400    2.52909432e-21    7.47833507e-22    1.46680434e-23    2.07022133e-22    030.0
01.5500    2.77683571e-21    8.29820444e-22    1.63139997e-23    2.30428519e-22    030.0
01.5600    3.07397209e-21    9.21110844e-22    1.78871700e-23    2.56735692e-22    030.0
01.5700    3.42596308e-21    1.02284159e-21    1.93338842e-23    2.86324195e-22    030.0
01.5800    3.83705852e-21    1.13581417e-21    2.06104200e-23    3.19470346e-22    030.0
01.5900    4.30976645e-21    1.26015429e-21    2.16932334e-23    3.56240781e-22    030.0
01.6000    4.84430835e-21    1.39494334e-21    2.25904935e-23    3.96378494e-22    030.0
01.6100    5.43808505e-21    1.53788250e-21    2.33539418e-23    4.39199245e-22    030.0
01.6200    6.08517494e-21    1.68506353e-21    2.40896911e-23    4.83521270e-22    030.0
01.6300    6.77588817e-21    1.83092132e-21    2.49661519e-23    5.27651456e-22    030.0
01.6400    7.49641091e-21    1.96842829e-21    2.62169329e-23    5.69446368e-22    030.0
01.6500    8.22859571e-21    2.08956045e-21    2.81364643e-23    6.06456741e-22    030.0
01.6600    8.94998377e-21    2.18602114e-21    3.10664030e-23    6.36150331e-22    030.0
01.6700    9.63417350e-21    2.25015915e-21    3.53717680e-23    6.56192700e-22    030.0
01.6800    1.02516629e-20    2.27597246e-21    4.14072668e-23    6.64751575e-22    030.0
01.6900    1.07712740e-20    2.26005612e-21    4.94762737e-23    6.60781072e-22    030.0
01.7000    1.11622039e-20    2.20234264e-21    5.97870501e-23    6.44239748e-22    030.0
01.7100    1.13966427e-20    2.10649903e-21    7.24125250e-23    6.16202304e-22    030.0
01.7200    1.14527590e-20    1.97988506e-21    8.72606370e-23    5.78838243e-22    030.0
01.7300    1.13177151e-20    1.83303743e-21    1.04061418e-22    5.35249617e-22    030.0
01.7400    1.09902648e-20    1.67871295e-21    1.22374577e-22    4.89180980e-22    030.0
01.7500    1.04824524e-20    1.53059042e-21    1.41617775e-22    4.44634156e-22    030.0
01.7600    9.81998936e-21    1.40178562e-21    1.61111827e-22    4.05435373e-22    030.0
01.7700    9.04104750e-21    1.30336661e-21    1.80135803e-22    3.74810299e-22    030.0
01.7800    8.19343532e-21    1.24306472e-21    1.97983248e-22    3.55022585e-22    030.0
01.7900    7.33038741e-21    1.22435720e-21    2.14011109e-22    3.47123816e-22    030.0
01.8000    6.50543188e-21    1.24605303e-21    2.27675200e-22    3.50848338e-22    030.0
01.8100    5.76696967e-21    1.30244955e-21    2.38549590e-22    3.64667334e-22    030.0
01.8200    5.15326949e-21    1.38405062e-21    2.46331036e-22    3.85995162e-22    030.0
01.8300    4.68854451e-21    1.47875840e-21    2.50832575e-22    4.11520298e-22    030.0
01.8400    4.38064341e-21    1.57338166e-21    2.51971907e-22    4.37616241e-22    030.0
01.8500    4.22068367e-21    1.65525581e-21    2.49760002e-22    4.60777217e-22    030.0
01.8600    4.18470836e-21    1.71375356e-21    2.44293735e-22    4.78021215e-22    030.0
01.8700    4.23718772e-21    1.74148351e-21    2.35753915e-22    4.87209420e-22    030.0
01.8800    4.33594282e-21    1.73502653e-21    2.24407564e-22    4.87245333e-22    030.0
01.8900    4.43786660e-21    1.69513527e-21    2.10611430e-22    4.78136205e-22    030.0
01.9000    4.50468730e-21    1.62640751e-21    1.94812863e-22    4.60920269e-22    030.0
01.9100    4.50799053e-21    1.53652237e-21    1.77544492e-22    4.37481930e-22    030.0
01.9200    4.43280679e-21    1.43518576e-21    1.59410394e-22    4.10290609e-22    030.0
01.9300    4.27928165e-21    1.33295927e-21    1.41063335e-22    3.82105437e-22    030.0
