# w(eV)  Rpp                     Rps                     Rsp                     Rss
00.01    9.61382259635607e+25    1.31105402705157e+24    2.99025397491995e+21    2.18312326792060e+23
00.02    3.84555782196478e+26    5.24602140844434e+24    1.19632537595793e+22    8.73534480587770e+23
00.03    8.65276844779745e+26    1.18105418009931e+25    2.69270367932819e+22    1.96657077491985e+24
00.04    1.53832353717338e+27    2.10138761974672e+25    4.78927664600114e+22    3.49889233567550e+24
00.05    2.40371575472277e+27    3.28688807226643e+25    7.48774931867257e+22    5.47253893400649e+24
00.06    3.46149725578029e+27    4.73919027361549e+25    1.07904032759261e+23    7.89010007057705e+24
00.07    4.71179378281671e+27    6.46050351842621e+25    1.47000868020358e+23    1.07551531768078e+25
00.08    6.15463262089184e+27    8.45317023597708e+25    1.92196004007416e+23    1.40713771766300e+25
00.09    7.79003414988835e+27    1.07199900252362e+26    2.43529773239834e+23    1.78432112999775e+25
00.10    9.61829456017672e+27    1.32644216991298e+26    3.01046776191875e+23    2.20762882637162e+25
00.11    1.16391036857760e+28    1.60896936011086e+26    3.64783584448730e+23    2.67754605254541e+25
00.12    1.38530213146863e+28    1.92004101714376e+26    4.34802646985212e+23    3.19483605610008e+25
00.13    1.62602808159195e+28    2.26011063886786e+26    5.11181591926252e+23    3.76022751509715e+25
00.14    1.88603419552476e+28    2.62960650406238e+26    5.93931228076815e+23    4.37435367259982e+25
00.15    2.16540106678476e+28    3.02915755146911e+26    6.83176058910384e+23    5.03826677308706e+25
00.16    2.46411934597780e+28    3.45930273244845e+26    7.78960171600655e+23    5.75279568728028e+25
00.17    2.78219952200898e+28    3.92067790675711e+26    8.81369901507457e+23    6.51894846618514e+25
00.18    3.11965377631709e+28    4.41398535596273e+26    9.90478132522813e+23    7.33783930566601e+25
00.19    3.47657417078996e+28    4.94003730311572e+26    1.10642891928688e+24    8.21080886152842e+25
00.20    3.85291871234666e+28    5.49957809987093e+26    1.22926734978702e+24    9.13899472125775e+25
00.21    4.24870874961507e+28    6.09346222124948e+26    1.35910575418906e+24    1.01237509676268e+26
00.22    4.66397568480667e+28    6.72260142697051e+26    1.49608502574287e+24    1.11665217864480e+26
00.23    5.09882828564600e+28    7.38812284726108e+26    1.64031668661391e+24    1.22691756332572e+26
00.24    5.55322571071599e+28    8.09096028547967e+26    1.79191518947714e+24    1.34331239697623e+26
00.25    6.02704348329045e+28    8.83206301905473e+26    1.95097436888963e+24    1.46597718699537e+26
00.26    6.52074031173917e+28    9.61309967081910e+26    2.11777962252598e+24    1.59520555870704e+26
00.27    7.03392224242456e+28    1.04349622748920e+27    2.29227377362333e+24    1.73111008185859e+26
