# w      Rpp                     Rps                     Rsp                     Rss
00.01    8.08183204849370e-03    1.14402172658673e-04    2.38616489664855e-07    1.82147165509194e-05
00.02    3.23276767642228e-02    4.57767520491176e-04    9.54649581667566e-07    7.28829763753697e-05
00.03    7.27398056284013e-02    1.03059108687959e-03    2.14875201069542e-06    1.64080944199674e-04
00.04    1.29320561740511e-01    1.83368696001616e-03    3.82183776124041e-06    2.91932819326428e-04
00.05    2.02072315399382e-01    2.86818546498034e-03    5.97530033937649e-06    4.56610861167410e-04
00.06    2.90999651935869e-01    4.13552423415960e-03    8.61100354842119e-06    6.58333843903538e-04
00.07    3.96113797645691e-01    5.63763963242299e-03    1.17312530752234e-05    8.97402328055155e-04
00.08    5.17418563033688e-01    7.37659432065174e-03    1.53383554792463e-05    1.17412780799973e-03
00.09    6.54917162980083e-01    9.35484996814234e-03    1.94356010590358e-05    1.48888523161356e-03
00.10    8.08635294926204e-01    1.15754354081382e-02    2.40265890785239e-05    1.84214715763177e-03
00.11    9.78550388043535e-01    1.40412117640303e-02    2.91144066401496e-05    2.23432917573691e-03
00.12    1.16470961002112e+00    1.67561997916044e-02    3.47040461851351e-05    2.66606879880035e-03
00.13    1.36713425411025e+00    1.97243790117339e-02    4.08017860615962e-05    3.13797941364324e-03
00.14    1.58578415969088e+00    2.29495539129831e-02    4.74087437837763e-05    3.65060573323729e-03
00.15    1.82072652365746e+00    2.64372084491385e-02    5.45348346528095e-05    4.20482465621325e-03
00.16    2.07195785505024e+00    3.01921033028932e-02    6.21837927208131e-05    4.80134177883940e-03
00.17    2.33948995762754e+00    3.42198297853714e-02    7.03626645892213e-05    5.44100853530173e-03
00.18    2.62333646357153e+00    3.85265625745926e-02    7.90774352120739e-05    6.12476582556871e-03
00.19    2.92357501731266e+00    4.31193991356653e-02    8.83396293459089e-05    6.85373460300039e-03
00.20    3.24017661463277e+00    4.80049206075481e-02    9.81531588711017e-05    7.62888482223131e-03
00.21    3.57316287129853e+00    5.31906411715920e-02    1.08527193702950e-04    8.45136027162648e-03
00.22    3.92256437966184e+00    5.86845793544554e-02    1.19473198336988e-04    9.32238098361477e-03
00.23    4.28847223267171e+00    6.44965776605754e-02    1.31000077000797e-04    1.02435075421004e-02
00.24    4.67086040699973e+00    7.06349055649583e-02    1.43117398343565e-04    1.12159468493834e-02
00.25    5.06963466658182e+00    7.71079947606187e-02    1.55833180746298e-04    1.22409070102605e-02
00.26    5.48516817272719e+00    8.39302727128295e-02    1.69169670188198e-04    1.33208055407567e-02
00.27    5.91715204769280e+00    9.11098269792683e-02    1.83123397922417e-04    1.44566550033021e-02
00.28    6.36585550532989e+00    9.86603235658736e-02    1.97722308279825e-04    1.56506941407368e-02
00.29    6.83108185254036e+00    1.06592722728634e-01    2.12964505086944e-04    1.69044167485077e-02
00.30    7.31311428766228e+00    1.14922920593727e-01    2.28879400447497e-04    1.82204291233487e-02
00.31    7.81187116646405e+00    1.23664427932255e-01    2.45473310870757e-04    1.96006954541330e-02
00.32    8.32761531427117e+00    1.32834743886643e-01    2.62767937063076e-04    2.10480015736627e-02
00.33    8.86000408451902e+00    1.42445318331660e-01    2.80767648649116e-04    2.25638388233546e-02
00.34    9.40944498884788e+00    1.52519318790556e-01    2.99510278759642e-04    2.41519977149667e-02
00.35    9.97587865343040e+00    1.63073397284230e-01    3.18992320590446e-04    2.58148838184493e-02
00.36    1.05592986415205e+01    1.74126367155548e-01    3.39245142612926e-04    2.75553491779922e-02
00.37    1.11598096263146e+01    1.85699223363788e-01    3.60283989605150e-04    2.93765823712918e-02
00.38    1.17774559263113e+01    1.97815546836809e-01    3.82128109683297e-04    3.12821715650302e-02
00.39    1.24123270315526e+01    2.10499114391616e-01    4.04806364261312e-04    3.32757256356505e-02
00.40    1.30647650321147e+01    2.23778773880420e-01    4.28342869686840e-04    3.53618318048000e-02
00.41    1.37343529841274e+01    2.37675541635069e-01    4.52741118226221e-04    3.75432764268072e-02
00.42    1.44216443428682e+01    2.52226243160004e-01    4.78058166461063e-04    3.98260830732922e-02
00.43    1.51265621861526e+01    2.67457295548674e-01    5.04301728149031e-04    4.22140436374932e-02
00.44    1.58491505495126e+01    2.83403253728942e-01    5.31496631795938e-04    4.47124088136968e-02
00.45    1.65895051581835e+01    3.00100015599997e-01    5.59674494718171e-04    4.73266257785764e-02
00.46    1.73477802473384e+01    3.17585722172465e-01    5.88875162874111e-04    5.00624791319089e-02
00.47    1.81240629395313e+01    3.35900871549515e-01    6.19108383077094e-04    5.29261075629698e-02
00.48    1.89185864048358e+01    3.55090691528587e-01    6.50422842213124e-04    5.59243761387447e-02
00.49    1.97312866029230e+01    3.75202266964166e-01    6.82842650242456e-04    5.90644217974778e-02
00.50    2.05625284795406e+01    3.96285662075739e-01    7.16406685159594e-04    6.23538286112118e-02
00.51    2.14128236691775e+01    4.18404831040994e-01    7.51168366065573e-04    6.58026877567905e-02
00.52    2.22813919934501e+01    4.41603465131348e-01    7.87130305871730e-04    6.94168580772387e-02
00.53    2.31689890395179e+01    4.65951462348156e-01    8.24347821931371e-04    7.32072943071917e-02
00.54    2.40757378465126e+01    4.91519391863707e-01    8.62857811448914e-04    7.71846967758703e-02
00.55    2.50023635049392e+01    5.18391284036808e-01    9.02731755402702e-04    8.13622714959482e-02
00.56    2.59481206464355e+01    5.46631447513300e-01    9.43942686004663e-04    8.57488372252354e-02
00.57    2.69137014753387e+01    5.76336024443610e-01    9.86582695550352e-04    9.03594045859287e-02
00.58    2.78993183175375e+01    6.07602846695344e-01    1.03067400329488e-03    9.52087997955989e-02
00.59    2.89054127172118e+01    6.40538780914283e-01    1.07626923645617e-03    1.00313217350266e-01
00.60    2.99321484558237e+01    6.75260574155802e-01    1.12340115458628e-03    1.05690347014209e-01
00.61    3.09798794530963e+01    7.11897775966581e-01    1.17211355203172e-03    1.11359824978163e-01
00.62    3.20489364313203e+01    7.50596250734635e-01    1.22245121574291e-03    1.17343775475609e-01
00.63    3.31397279726560e+01    7.91513632337396e-01    1.27444742258181e-03    1.23666091223533e-01
00.64    3.42525836293421e+01    8.34831496383363e-01    1.32814763699030e-03    1.30354326498697e-01
00.65    3.53872944371988e+01    8.80732469871338e-01    1.38357471172369e-03    1.37435400500337e-01
00.66    3.65450275641321e+01    9.29452583474072e-01    1.44078370260971e-03    1.44945815898764e-01
00.67    3.77269506390924e+01    9.81245080807453e-01    1.49986152974533e-03    1.52924790273539e-01
00.68    3.89321159664944e+01    1.03634966726150e+00    1.56080730048874e-03    1.61406982789701e-01
00.69    4.01609063339919e+01    1.09505246126131e+00    1.62365287955177e-03    1.70435560752031e-01
00.70    4.14158555587912e+01    1.15768969194097e+00    1.68855061545095e-03    1.80063173899995e-01
00.71    4.26957638468546e+01    1.22455725557840e+00    1.75551592407019e-03    1.90332518092159e-01
00.72    4.40023769636482e+01    1.29602015690045e+00    1.82466987049129e-03    2.01299541334477e-01
00.73    4.53362818283786e+01    1.37245998760869e+00    1.89611209671525e-03    2.13021696875902e-01
00.74    4.66982823569957e+01    1.45424134112563e+00    1.97000331398439e-03    2.25553597433062e-01
00.75    4.80884524958704e+01    1.54176156615146e+00    2.04646510496335e-03    2.38953512247416e-01
00.76    4.95087274621994e+01    1.63552714578729e+00    2.12581637102850e-03    2.53298687985291e-01
00.77    5.09598312749409e+01    1.73602757810588e+00    2.20839340241649e-03    2.68662376066691e-01
00.78    5.24419441731614e+01    1.84384538851907e+00    2.29467024228219e-03    2.85130490918418e-01
00.79    5.39570548134145e+01    1.95966967663495e+00    2.38538072945509e-03    3.02807811609651e-01
00.80    5.55062212927258e+01    2.08421435022010e+00    2.48153528974258e-03    3.21801272943211e-01
00.81    5.70897099618566e+01    2.21833305887395e+00    2.58418757462800e-03    3.42237234717381e-01
00.82    5.87094689651673e+01    2.36293196680660e+00    2.69495753565055e-03    3.64252913447022e-01
00.83    6.03656697483674e+01    2.51892490289550e+00    2.81558062952918e-03    3.87982696852605e-01
00.84    6.20605280244866e+01    2.68729572730570e+00    2.94798320440592e-03    4.13574874496747e-01
00.85    6.37940337996246e+01    2.86892585517164e+00    3.09407271533572e-03    4.41157456245201e-01
00.86    6.55685502582692e+01    3.06469497294732e+00    3.25561945487515e-03    4.70861785379794e-01
00.87    6.73843393749995e+01    3.27537375055800e+00    3.43378725162965e-03    5.02797450037604e-01
00.88    6.92446884897275e+01    3.50169167339815e+00    3.62899552027295e-03    5.37071916621292e-01
00.89    7.11500621331078e+01    3.74427731052077e+00    3.84031388056352e-03    5.73771623605522e-01
00.90    7.31054127588534e+01    4.00400334533091e+00    4.06567621709488e-03    6.13025282770291e-01
00.91    7.51128212714642e+01    4.28167894089254e+00    4.30124131113526e-03    6.54945539524634e-01
00.92    7.71790771795961e+01    4.57853938908320e+00    4.54204065066260e-03    6.99715680709456e-01
00.93    7.93075247862462e+01    4.89626355874197e+00    4.78177787686692e-03    7.47575659955715e-01
00.94    8.15091707394732e+01    5.23698819534508e+00    5.01444912747735e-03    7.98848017668507e-01
00.95    8.37933567453947e+01    5.60372852763971e+00    5.23476172309608e-03    8.53981309074342e-01
00.96    8.61667498020740e+01    5.99987105112458e+00    5.43930974949136e-03    9.13469741014827e-01
00.97    8.86444258483258e+01    6.42967924595124e+00    5.62935516769479e-03    9.77955515448699e-01
00.98    9.12358753957938e+01    6.89799260194938e+00    5.81162479240470e-03    1.04815262718915e+00
00.99    9.39546181835807e+01    7.41029730617152e+00    6.00075226781878e-03    1.12487968190042e+00
01.00    9.68075563764124e+01    7.97215637619133e+00    6.22043234872924e-03    1.20894710176692e+00
01.01    9.98080400812695e+01    8.59031086137223e+00    6.50550218667060e-03    1.30136196558019e+00
01.02    1.02959717894739e+02    9.27172532894268e+00    6.90105226719602e-03    1.40313682247267e+00
01.03    1.06273961963272e+02    1.00252360093414e+01    7.46273203146527e-03    1.51558765989839e+00
01.04    1.09754751477397e+02    1.08611123802798e+01    8.25173032113433e-03    1.64022124263925e+00
01.05    1.13406404978524e+02    1.17923827871764e+01    9.33061575493777e-03    1.77895099191174e+00
01.06    1.17242997242967e+02    1.28368682250615e+01    1.07578888863270e-02    1.93442833351659e+00
01.07    1.21276840052443e+02    1.40167376511821e+01    1.25779261548032e-02    2.10992221788294e+00
01.08    1.25528485313536e+02    1.53612991881172e+01    1.48133856768584e-02    2.30975617981754e+00
01.09    1.30037286440271e+02    1.69075993613300e+01    1.74584670655725e-02    2.53942729853736e+00
01.10    1.34848066440453e+02    1.86997519977051e+01    2.04728119830819e-02    2.80542179067079e+00
01.11    1.40030465712749e+02    2.07903432248853e+01    2.37834952416602e-02    3.11549759510166e+00
01.12    1.45671404603274e+02    2.32381345588310e+01    2.72855888674930e-02    3.47828740007559e+00
01.13    1.51870939388738e+02    2.61045427343268e+01    3.08495199952423e-02    3.90275881355756e+00
01.14    1.58752966839257e+02    2.94527236224683e+01    3.43335476645039e-02    4.39814604091677e+00
01.15    1.66429984308426e+02    3.33383362693017e+01    3.75839239756553e-02    4.97241872550496e+00
01.16    1.75028797345958e+02    3.78087840726065e+01    4.04465958928854e-02    5.63239738271703e+00
01.17    1.84636822517460e+02    4.28927956306226e+01    4.27575296082720e-02    6.38197224326661e+00
